temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base
132.0, 12.0, maize.MerisRoot@1458ed9c, maize.SegRoot@1800a575, 682, 31, 3, 5.0, 1.4821491693274207, 0.6745750370488454, -2.6193149665177873, 1.4819696804463016, 0.6751698095143157, -2.618531366182364, 0.028675744, 0.0025833263, 1.2346467E-5, 0.028675744, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@10a9d961, maize.SegRoot@1800a575, 252, 30, 2, 4.0, 1.4999185685582124, 0.6156925629672811, -2.696891399724678, 1.4819696804463016, 0.6751698095143157, -2.618531366182364, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@130e116b, maize.SegRoot@10a9d961, 695, 31, 3, 4.0, 1.4999117790068208, 0.6156466974619145, -2.6969565937207394, 1.4999185685582124, 0.6156925629672811, -2.696891399724678, 0.026923181, 0.0022772078, 1.021828E-5, 0.026923181, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@e383572, maize.SegRoot@10a9d961, 252, 30, 2, 4.0, 1.4992396134190682, 0.6111060124306102, -2.703410799330791, 1.4999185685582124, 0.6156925629672811, -2.696891399724678, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@5ddf0d24, maize.SegRoot@e383572, 696, 31, 3, 4.0, 1.4992066973992315, 0.6110612123790434, -2.7034683275041567, 1.4992396134190682, 0.6111060124306102, -2.703410799330791, 0.022818776, 0.0016358163, 6.2212207E-6, 0.022818776, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@363a52f, maize.SegRoot@e383572, 252, 30, 2, 3.0, 1.4959480114353931, 0.6066260072739292, -2.7091636166673467, 1.4992396134190682, 0.6111060124306102, -2.703410799330791, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@60856961, maize.SegRoot@363a52f, 713, 31, 3, 3.0, 1.4958979194943502, 0.6065950786929267, -2.709217785108646, 1.4959480114353931, 0.6066260072739292, -2.7091636166673467, 0.018919406, 0.001124514, 3.5458565E-6, 0.018919406, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@2fd953a6, maize.SegRoot@363a52f, 252, 30, 2, 2.0, 1.490938817331111, 0.6035331491736767, -2.7145804607972734, 1.4959480114353931, 0.6066260072739292, -2.7091636166673467, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@a4add54, maize.SegRoot@2fd953a6, 733, 31, 3, 2.0, 1.4908853524728551, 0.6035297837124207, -2.7146398761346475, 1.490938817331111, 0.6035331491736767, -2.7145804607972734, 0.033904187, 0.0036112412, 2.0406032E-5, 0.033904187, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@141e5bef, maize.SegRoot@2fd953a6, 252, 30, 2, 2.0, 1.4855923315055102, 0.6031966030480735, -2.720521994534667, 1.490938817331111, 0.6035331491736767, -2.7145804607972734, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@5f9be66c, maize.SegRoot@141e5bef, 734, 31, 3, 2.0, 1.4855398491020926, 0.6032001686569217, -2.720582267940727, 1.4855923315055102, 0.6031966030480735, -2.720521994534667, 0.030035226, 0.002834077, 1.4187024E-5, 0.030035226, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@3abada5a, maize.SegRoot@141e5bef, 252, 30, 2, 1.0, 1.4803440911637498, 0.6035531639328885, -2.7265493351407, 1.4855923315055102, 0.6031966030480735, -2.720521994534667, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@66c61024, maize.SegRoot@3abada5a, 755, 31, 3, 1.0, 1.480290451403074, 0.6035643936267776, -2.7266076160961044, 1.4803440911637498, 0.6035531639328885, -2.7265493351407, 0.016794037, 8.8605384E-4, 2.4800702E-6, 0.016794037, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@61fe30, maize.SegRoot@3abada5a, 252, 30, 2, 1.0, 1.4749801150961688, 0.6046761333217995, -2.7323774306811472, 1.4803440911637498, 0.6035531639328885, -2.7265493351407, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@c9d0d6, maize.SegRoot@61fe30, 756, 31, 3, 1.0, 1.4749229821695227, 0.6046702915741808, -2.7324331236105968, 1.4749801150961688, 0.6046761333217995, -2.7323774306811472, 0.016247682, 8.293402E-4, 2.2458094E-6, 0.016247682, 0.0, 0.0, 0.0
132.0, 12.0, maize.MerisRoot@64c87930, maize.SegRoot@61fe30, 252, 30, 2, 70.0, 1.469266822431556, 0.6040919585599402, -2.737946723626098, 1.4749801150961688, 0.6046761333217995, -2.7323774306811472, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@400cff1a, maize.SegStem@525b461a, 251, 30, 2, 67.0, 0.6, 0.0, -1.9701000006683171, 0.6, 0.0, -1.9800000004470348, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@275710fc, maize.SegRoot@400cff1a, 251, 30, 2, 67.0, 0.6, -0.007999999821186066, -1.9701000006683171, 0.6, 0.0, -1.9701000006683171, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@525f1e4e, maize.SegRoot@275710fc, 251, 30, 2, 67.0, 0.598863081430142, -0.015917998122563948, -1.970212766815126, 0.6, -0.007999999821186066, -1.9701000006683171, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@75f9eccc, maize.SegRoot@525f1e4e, 251, 30, 2, 66.0, 0.5954376271714353, -0.02314278870396103, -1.970474799857778, 0.598863081430142, -0.015917998122563948, -1.970212766815126, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@6ccdb29f, maize.SegRoot@75f9eccc, 264, 31, 3, 23.0, 0.5954071475587631, -0.02321669493224798, -1.9704777768269828, 0.5954376271714353, -0.02314278870396103, -1.970474799857778, 0.32971916, 0.024901627, 1.4965849E-4, 0.024039954, 0.0, 0.0, 0.0
132.0, 12.0, maize.SegRoot@3adcc812, maize.SegRoot@6ccdb29f, 264, 31, 3, 18.0, 0.700834291486507, -0.10409725410402171, -1.6687192953557317, 0.5954071475587631, -0.02321669493224798, -1.9704777768269828, 0.053433087, 0.004035467, 2.425311E-5, 0.024039954, 0.0, 1.4314483E-6, 0.0
