temps, hour, article, father, orgID, type, ordre, article_age, x, y, z, x1, y1, z1,article_length, article_surface, article_volume, article_diameter, article_growth, article_dry_mass, dist_from_base,water_pot_endo, water_pot_exo, Kh, Lr, Lr_percent, radial_water_flux, axial_water_flux, aqp, cavitation,maintenance_demand, growth_demand, dry_mass, growth_eff, photosynthesis
36.0, 12.0, maize.SegLeaf@5c29bfd, maize.SegLeaf@277050dc, 1, 41, 1, 17.0, 0.6249965286994505, 0.0, 2.2120528671172837, 0.6083329477845523, 0.0, 1.7123306117376846, 0.5, 0.26055795, 0.0026055793, 0.5211159, 0.0, 1.9541845E-5, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 1.4070128E-10, 0.0, 1.9541845E-5, 1.0, 4.698134E-4
36.0, 12.0, maize.SegLeaf@7aec35a, maize.SegLeaf@5c29bfd, 1, 41, 1, 4.0, 0.649986114079227, 0.0, 2.7114280047374173, 0.6249965286994505, 0.0, 2.2120528671172837, 0.5, 0.37446564, 0.0037446565, 0.7489313, 0.0, 2.6118978E-5, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 1.8805664E-10, 0.0, 2.6118978E-5, 1.0, 6.75201E-4
36.0, 12.0, maize.SegLeaf@67424e82, maize.SegLeaf@7aec35a, 1, 41, 1, 3.0, 0.683294762532863, 0.0, 3.210317312488919, 0.649986114079227, 0.0, 2.7114280047374173, 0.5, 0.4774592, 0.004774592, 0.9549184, 0.0, 3.1751035E-5, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 2.2860745E-10, 0.0, 3.1751035E-5, 1.0, 8.6090923E-4
36.0, 12.0, maize.SegLeaf@42110406, maize.SegLeaf@67424e82, 1, 41, 1, 2.0, 0.7249132218719087, 0.0, 3.708582213212244, 0.683294762532863, 0.0, 3.210317312488919, 0.5, 0.5695386, 0.005695386, 1.1390772, 0.0, 3.6023317E-5, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 2.5936786E-10, 0.0, 3.6023317E-5, 1.0, 0.0010269381
36.0, 12.0, maize.SegLeaf@531d72ca, maize.SegLeaf@42110406, 1, 41, 1, 1.0, 0.7748299316804755, 0.0, 4.206084303190234, 0.7249132218719087, 0.0, 3.708582213212244, 0.01, 0.013014076, 1.3014076E-4, 1.3014077, 0.5, 0.0, 0.0, -0.4, -89.88, 1.19336161E10, 1.46120154E9, 0.6843683, 0.0, 0.0, 1.0, 1.0, 0.0, 1.4250414E-5, 0.0, 1.0, 2.3465751E-5
36.0, 12.0, maize.MerisLeaf@46f7f36a, maize.SegLeaf@531d72ca, 0, 41, 2, 30.0, 0.7759939535600485, 0.0, 4.216016324790285, 0.7748299316804755, 0.0, 4.206084303190234, 0.01, 4.3497086E-9, 1.0874271E-11, 1.0874271E-7, 0.0, 0.0, 0.0, -0.4, -89.88, 8.37969E-11, 9.9999999E14, 1.0, 0.0, 0.0, 1.0, 1.0, 1.195043E-15, 1.05259424E-7, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@22d8cfe0, maize.SegStem@5a10411, 4, 30, 2, 21.0, 0.6, 0.0, -1.9801000004447997, 0.6, 0.0, -1.9900000002235174, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 2.8069348E-7, 0.0, 0.0, 0.0, 0.0
36.0, 12.0, maize.MerisRoot@579bb367, maize.SegRoot@22d8cfe0, 8, 31, 3, 21.0, 0.600039999999106, -6.928203075418099E-5, -1.9801000004447997, 0.6, 0.0, -1.9801000004447997, 0.035272386, 0.003908585, 2.297752E-5, 0.035272386, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 1.3762046E-7, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@1de0aca6, maize.SegRoot@22d8cfe0, 4, 30, 2, 12.0, 0.603999999910593, -0.006928203075418098, -1.9801000004447997, 0.6, 0.0, -1.9801000004447997, 0.21185513, 0.053245, 0.0010649, 0.08, 0.21468802, 5.9537317E-5, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 7.1317995E-6, 4.404341E-5, 5.9537317E-5, 1.0, 0.0
36.0, 12.0, maize.SegRoot@255316f2, maize.SegRoot@1de0aca6, 4, 30, 2, 2.0, 0.729395100354664, -0.1723530526218616, -2.0224471989870696, 0.603999999910593, -0.006928203075418098, -1.9801000004447997, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.21468802, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 2.4084613E-7, 3.9388597E-5, 0.0, 1.0, 0.0
36.0, 12.0, maize.MerisRoot@41906a77, maize.SegRoot@255316f2, 12, 31, 3, 2.0, 0.7294477277702055, -0.1724075546660838, -2.0224728871559985, 0.729395100354664, -0.1723530526218616, -2.0224471989870696, 0.023802523, 0.0017799009, 7.0610213E-6, 0.023802523, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 4.2290946E-8, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.MerisRoot@306a30c7, maize.SegRoot@255316f2, 4, 30, 2, 30.0, 0.7346578419088111, -0.17780325704408018, -2.025016015879972, 0.729395100354664, -0.1723530526218616, -2.0224471989870696, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 1.6056409E-6, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@4b9af9a9, maize.SegStem@5a10411, 3, 30, 2, 20.0, 0.6, 0.0, -1.9801000004447997, 0.6, 0.0, -1.9900000002235174, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 2.8353972E-7, 0.0, 0.0, 0.0, 0.0
36.0, 12.0, maize.MerisRoot@5387f9e0, maize.SegRoot@4b9af9a9, 9, 31, 3, 20.0, 0.600039999999106, 6.928203075418104E-5, -1.9801000004447997, 0.6, 0.0, -1.9801000004447997, 0.049156692, 0.007591283, 6.219373E-5, 0.049156692, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 3.7250015E-7, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@6e5e91e4, maize.SegRoot@4b9af9a9, 3, 30, 2, 11.0, 0.603999999910593, 0.006928203075418103, -1.9801000004447997, 0.6, 0.0, -1.9801000004447997, 0.1660015, 0.041720726, 8.344145E-4, 0.08, 0.21468802, 3.5775647E-5, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 5.5291425E-6, 4.357793E-5, 3.5775647E-5, 0.77506757, 0.0
36.0, 12.0, maize.SegRoot@2cdf8d8a, maize.SegRoot@6e5e91e4, 3, 30, 2, 1.0, 0.7229323163610131, 0.11872427712864658, -2.010319865573342, 0.603999999910593, 0.006928203075418103, -1.9801000004447997, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 2.4084613E-7, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.MerisRoot@30946e09, maize.SegRoot@2cdf8d8a, 13, 31, 3, 1.0, 0.7229856422333075, 0.11877913344223859, -2.0103432565099846, 0.7229323163610131, 0.11872427712864658, -2.010319865573342, 0.02862607, 0.0025743837, 1.2282415E-5, 0.02862607, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 7.356371E-8, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.MerisRoot@2ef1e4fa, maize.SegRoot@2cdf8d8a, 3, 30, 2, 30.0, 0.7282649035904573, 0.12420990848784737, -2.0126589592376267, 0.7229323163610131, 0.11872427712864658, -2.010319865573342, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 1.6056409E-6, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@5cb0d902, maize.SegStem@5a10411, 5, 30, 2, 19.0, 0.6, 0.0, -1.9801000004447997, 0.6, 0.0, -1.9900000002235174, 0.020982768, 0.005273545, 1.054709E-4, 0.08, 0.0, 5.8460813E-7, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 7.436811E-7, 0.0, 5.8460813E-7, 0.09416467, 0.0
36.0, 12.0, maize.MerisRoot@46fbb2c1, maize.SegRoot@5cb0d902, 10, 31, 3, 19.0, 0.5997901723093582, -7.708944291510659E-20, -1.9801000004447997, 0.6, 0.0, -1.9801000004447997, 0.03441425, 0.003720716, 2.1340942E-5, 0.03441425, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 1.2781842E-7, 0.0, 0.0, 1.0, 0.0
36.0, 12.0, maize.SegRoot@1698c449, maize.SegRoot@5cb0d902, 5, 30, 2, 9.0, 0.579017230935815, -7.70894429151066E-18, -1.9801000004447997, 0.6, 0.0, -1.9801000004447997, 0.007999999, 0.0020106193, 4.0212384E-5, 0.08, 0.21468802, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 5000452.0, 0.9999096, 0.0, 0.0, 0.9999096, 1.0, 2.607698E-7, 4.2646967E-5, 0.0, 0.0, 0.0
36.0, 12.0, maize.MerisRoot@b81eda8, maize.SegRoot@1698c449, 5, 30, 2, 30.0, 0.5714004274104726, 6.327779608571582E-4, -1.982463026733096, 0.579017230935815, -7.70894429151066E-18, -1.9801000004447997, 0.08, 0.020106193, 2.6808254E-4, 0.08, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 1.0E-7, 0.0, 0.0, 0.0, 1.0, 1.0, 1.6056409E-6, 1.8301599E-6, 0.0, 0.0, 0.0
36.0, 12.0, maize.MerisStem@421faab1, maize.SegStem@5a10411, 3, 40, 1, 36.0, 0.6, 0.0, -1.9800000004470348, 0.6, 0.0, -1.9900000002235174, 0.4, 0.50265485, 0.033510324, 0.4, 0.0, 0.0, 0.0, -0.4, -0.15, 9.9999999E14, 9.9999999E14, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0141025E-5, 0.0, 0.0, 1.0, 0.0
